1,United States,"$30,615,743,000,000",2%,"$89,599"
2,China,"$19,398,577,000,000",4.8%,"$13,806"
3,Germany,"$5,013,574,000,000",0.2%,"$59,925"
4,Japan,"$4,279,828,000,000",1.1%,"$34,713"
5,India,"$4,125,213,000,000",6.6%,"$2,818"
6,United Kingdom,"$3,958,780,000,000",1.3%,"$56,661"
7,France,"$3,361,557,000,000",0.7%,"$48,982"
8,Italy,"$2,543,677,000,000",0.5%,"$43,161"
9,Russia,"$2,540,656,000,000",0.6%,"$17,446"
10,Canada,"$2,283,599,000,000",1.2%,"$54,935"
11,Brazil,"$2,256,910,000,000",2.4%,"$10,578"
12,Spain,"$1,891,371,000,000",2.9%,"$38,040"
13,Mexico,"$1,862,740,000,000",1%,"$13,967"
14,South Korea,"$1,858,572,000,000",0.9%,"$35,962"
15,Australia,"$1,829,508,000,000",1.8%,"$65,946"
16,Turkey,"$1,565,471,000,000",3.5%,"$18,198"
17,Indonesia,"$1,443,256,000,000",4.9%,"$5,074"
18,Netherlands,"$1,320,635,000,000",1.4%,"$73,174"
19,Saudi Arabia,"$1,268,535,000,000",4%,"$35,231"
20,Poland,"$1,039,619,000,000",3.2%,"$28,485"
21,Switzerland,"$1,002,666,000,000",0.9%,"$111,047"
22,Taiwan,"$884,387,000,000",3.7%,"$37,827"
23,Belgium,"$716,980,000,000",1.1%,"$60,418"
24,Ireland,"$708,771,000,000",9.1%,"$129,132"
25,Argentina,"$683,371,000,000",4.5%,"$14,359"
26,Sweden,"$662,318,000,000",0.7%,"$62,036"
27,Israel,"$610,752,000,000",2.5%,"$60,009"
28,Singapore,"$574,185,000,000",2.2%,"$94,481"
29,United Arab Emirates,"$569,097,000,000",4.8%,"$51,348"
30,Austria,"$566,456,000,000",0.3%,"$61,694"
31,Thailand,"$558,573,000,000",2%,"$7,942"
32,Norway,"$517,102,000,000",1.2%,"$91,884"
33,Philippines,"$494,158,000,000",5.4%,"$4,321"
34,Vietnam,"$484,726,000,000",6.5%,"$4,745"
35,Bangladesh,"$475,011,000,000",3.8%,"$2,734"
36,Malaysia,"$470,572,000,000",4.5%,"$13,901"
37,Denmark,"$459,612,000,000",1.8%,"$76,581"
38,Colombia,"$438,121,000,000",2.5%,"$8,249"
39,Hong Kong,"$428,233,000,000",2.4%,"$56,844"
40,South Africa,"$426,383,000,000",1.1%,"$6,667"
41,Romania,"$422,508,000,000",1%,"$22,436"
42,Pakistan,"$410,495,000,000",2.7%,"$1,707"
43,Czech Republic (Czechia),"$383,384,000,000",2.3%,"$35,161"
44,Iran,"$356,513,000,000",0.6%,"$4,074"
45,Egypt,"$349,264,000,000",4.3%,"$3,191"
46,Chile,"$347,174,000,000",2.5%,"$17,181"
47,Portugal,"$337,936,000,000",1.9%,"$31,415"
48,Peru,"$318,480,000,000",2.9%,"$9,256"
49,Finland,"$314,724,000,000",0.5%,"$56,084"
50,Kazakhstan,"$300,052,000,000",5.9%,"$14,723"
51,Algeria,"$288,013,000,000",3.4%,"$6,095"
52,Nigeria,"$285,003,000,000",3.9%,"$1,200"
53,Greece,"$282,019,000,000",2%,"$27,170"
54,Iraq,"$265,455,000,000",0.5%,"$5,832"
55,New Zealand,"$262,909,000,000",0.8%,"$49,383"
56,Hungary,"$247,759,000,000",0.6%,"$25,916"
57,Qatar,"$222,119,000,000",2.9%,"$71,441"
58,Ukraine,"$209,713,000,000",2%,"$6,382"
59,Cuba,"$201,985,998,168",−1.93%,"$18,329"
60,Morocco,"$179,612,000,000",4.4%,"$4,763"
61,Kuwait,"$157,469,000,000",2.6%,"$30,805"
62,Slovakia,"$154,587,000,000",0.9%,"$28,524"
63,Uzbekistan,"$137,480,000,000",6.8%,"$3,647"
64,Kenya,"$136,014,000,000",4.8%,"$2,549"
65,Ecuador,"$130,529,000,000",3.2%,"$7,210"
66,Dominican Republic,"$129,748,000,000",3%,"$11,919"
67,Bulgaria,"$127,924,000,000",3%,"$20,426"
68,Puerto Rico,"$126,546,000,000",−0.8%,"$39,854"
69,Guatemala,"$120,850,000,000",3.8%,"$6,478"
70,Angola,"$115,167,000,000",2.1%,"$2,931"
71,Ghana,"$111,963,000,000",4%,"$3,193"
72,Ethiopia,"$109,492,000,000",7.2%,$994
73,Oman,"$105,190,000,000",2.9%,"$19,119"
74,Croatia,"$103,901,000,000",3.1%,"$26,958"
75,Costa Rica,"$102,637,000,000",3.6%,"$19,104"
76,Luxembourg,"$100,642,000,000",1.2%,"$146,818"
77,Serbia,"$100,048,000,000",2.4%,"$15,322"
78,Côte d'Ivoire,"$99,207,000,000",6.4%,"$3,016"
79,Sri Lanka,"$98,964,000,000",5%,"$4,325"
80,Lithuania,"$95,274,000,000",2.7%,"$32,982"
81,Panama,"$90,408,000,000",4%,"$19,802"
82,Tanzania,"$87,444,000,000",6%,"$1,302"
83,Belarus,"$85,739,000,000",2.1%,"$9,435"
84,Uruguay,"$84,986,000,000",2.5%,"$24,380"
85,Venezuela,"$82,767,000,000",0.5%,"$3,103"
86,DR Congo,"$82,262,000,000",5.3%,$772
87,Slovenia,"$79,221,000,000",1.1%,"$37,178"
88,Azerbaijan,"$76,390,000,000",3%,"$7,365"
89,Turkmenistan,"$72,119,000,000",2.3%,"$10,801"
90,Uganda,"$64,993,000,000",6.4%,"$1,353"
91,Cameroon,"$60,577,000,000",3.8%,"$2,027"
92,Myanmar,"$60,561,000,000",−2.7%,"$1,097"
93,Tunisia,"$59,069,000,000",2.5%,"$4,752"
94,Bolivia,"$57,086,000,000",0.6%,"$4,585"
95,Jordan,"$56,157,000,000",2.7%,"$4,908"
96,Zimbabwe,"$53,310,000,000",6%,"$3,071"
97,Macao,"$52,379,000,000",2.6%,"$74,921"
98,Cambodia,"$48,802,000,000",4.8%,"$2,812"
99,Libya,"$47,941,000,000",15.6%,"$6,866"
100,Latvia,"$47,880,000,000",1%,"$25,630"
101,Paraguay,"$47,398,000,000",4.4%,"$6,799"
102,Bahrain,"$47,391,000,000",2.9%,"$29,253"
103,Estonia,"$46,763,000,000",0.5%,"$34,041"
104,Nepal,"$45,513,000,000",4.3%,"$1,535"
105,Cyprus,"$39,943,000,000",2.9%,"$42,413"
106,Honduras,"$39,445,000,000",3.8%,"$3,637"
107,Iceland,"$38,386,000,000",1.4%,"$98,150"
108,Georgia,"$37,403,000,000",7.2%,"$10,126"
109,Senegal,"$36,839,000,000",6%,"$1,921"
110,El Salvador,"$36,587,000,000",2.5%,"$5,744"
111,Sudan,"$35,897,000,000",3.2%,$712
112,Bosnia and Herzegovina,"$33,237,000,000",2.4%,"$9,648"
113,Papua New Guinea,"$32,714,000,000",4.7%,"$2,555"
114,Haiti,"$30,908,000,000",−3.1%,"$2,461"
115,Albania,"$29,939,000,000",3.4%,"$11,108"
116,Zambia,"$29,369,000,000",5.8%,"$1,353"
117,Lebanon,"$28,280,000,000",−7.5%,"$5,282"
118,Armenia,"$27,859,000,000",4.8%,"$8,969"
119,Malta,"$27,745,000,000",3.9%,"$49,277"
120,Guinea,"$27,515,000,000",7.2%,"$1,741"
121,Burkina Faso,"$26,866,000,000",4%,"$1,115"
122,Trinidad and Tobago,"$26,002,000,000",1%,"$18,121"
123,Mali,"$25,591,000,000",5%,"$1,014"
124,Mongolia,"$25,105,000,000",5.5%,"$7,005"
125,Guyana,"$25,064,000,000",10.3%,"$31,378"
126,Mozambique,"$24,726,000,000",2.5%,$690
127,Benin,"$24,402,000,000",7%,"$1,635"
128,Jamaica,"$23,137,000,000",2.1%,"$8,405"
129,Niger,"$22,969,000,000",6.6%,$789
130,Chad,"$21,592,000,000",3.3%,"$1,139"
131,Gabon,"$21,455,000,000",1.9%,"$9,303"
132,Nicaragua,"$20,689,000,000",3%,"$2,953"
133,Kyrgyzstan,"$20,160,000,000",8%,"$2,790"
134,Syria,"$19,993,439,950",−1.21%,$847
135,Moldova,"$19,620,000,000",1.7%,"$8,239"
136,Madagascar,"$19,377,000,000",3.8%,$616
137,Botswana,"$19,186,000,000",−0.9%,"$6,943"
138,North Macedonia,"$18,783,000,000",3.4%,"$10,378"
139,Afghanistan,"$18,080,000,000",1.7%,$417
140,Yemen,"$17,352,000,000",−1.5%,$415
141,Tajikistan,"$17,032,000,000",7.5%,"$1,644"
142,Laos,"$16,934,000,000",3.5%,"$2,174"
143,North Korea,"$16,446,632,290",3.06%,$640
144,Bahamas,"$16,393,000,000",2.2%,"$39,726"
145,Mauritius,"$15,730,000,000",3.2%,"$12,519"
146,Congo,"$15,695,000,000",2.7%,"$2,420"
147,Brunei,"$15,565,000,000",1.8%,"$33,858"
148,Malawi,"$14,975,000,000",2.4%,$622
149,Rwanda,"$14,771,000,000",7.1%,"$1,043"
150,Namibia,"$14,686,000,000",3.6%,"$4,816"
151,State of Palestine,"$13,711,000,000",−26.6%,"$2,443"
152,Equatorial Guinea,"$13,467,000,000",−1.6%,"$8,229"
153,Somalia,"$12,944,000,000",3%,$763
154,Mauritania,"$11,953,000,000",4%,"$2,582"
155,Togo,"$10,951,000,000",5.2%,"$1,120"
156,New Caledonia,"$10,139,988,153",−0.41%,"$34,981"
157,Monaco,"$9,995,350,547",5.04%,"$256,581"
158,Liechtenstein,"$9,424,000,000",1%,"$231,713"
159,Montenegro,"$9,353,000,000",3.2%,"$14,986"
160,Bermuda,"$8,980,200,000",2.11%,"$138,935"
161,Sierra Leone,"$8,639,000,000",4.4%,$980
162,Maldives,"$7,676,000,000",4.8%,"$18,684"
163,Barbados,"$7,559,000,000",2.7%,"$25,927"
164,Isle of Man,"$7,431,257,411",−4.17%,"$88,329"
165,Cayman Islands,"$7,139,428,558",4.36%,"$97,750"
166,Burundi,"$7,025,000,000",4.4%,$486
167,Guam,"$6,910,000,000",5.1%,"$41,833"
168,French Polynesia,"$6,402,221,222",3%,"$22,774"
169,Fiji,"$6,336,000,000",3.2%,"$6,825"
170,Eswatini,"$5,201,000,000",4.3%,"$4,410"
171,Liberia,"$5,182,000,000",4.6%,$904
172,South Sudan,"$4,979,000,000",24.3%,$313
173,U.S. Virgin Islands,"$4,672,000,000",−1.31%,"$44,321"
174,Djibouti,"$4,613,000,000",6%,"$4,369"
175,Suriname,"$4,496,000,000",2.7%,"$6,843"
176,Andorra,"$4,408,000,000",2.4%,"$49,451"
177,Aruba,"$4,319,000,000",2%,"$39,606"
178,Faeroe Islands,"$3,907,323,961",2.49%,"$71,774"
179,Bhutan,"$3,408,000,000",6.8%,"$4,285"
180,Greenland,"$3,326,544,174",0.87%,"$58,499"
181,Central African Republic,"$3,300,000,000",3%,$599
182,Belize,"$3,297,000,000",1.5%,"$7,897"
183,Curaçao,"$3,281,419,347",4.2%,"$21,062"
184,Cabo Verde,"$2,915,000,000",5.2%,"$5,671"
185,Saint Lucia,"$2,659,000,000",2.4%,"$14,647"
186,Gambia,"$2,497,000,000",6%,$890
187,Guinea-Bissau,"$2,474,000,000",5.1%,"$1,225"
188,Lesotho,"$2,390,000,000",1.4%,"$1,001"
189,Antigua and Barbuda,"$2,340,000,000",2.5%,"$22,314"
190,Eritrea,"$2,275,290,216",2.8%,$656
191,San Marino,"$2,241,000,000",1%,"$65,269"
192,Seychelles,"$2,230,000,000",3.9%,"$21,956"
193,Timor-Leste,"$2,125,000,000",3.9%,"$1,508"
194,Solomon Islands,"$1,904,000,000",2.7%,"$2,386"
195,Turks and Caicos,"$1,745,378,000",5.64%,"$37,507"
196,Sint Maarten,"$1,735,210,228",3.5%,"$40,028"
197,Comoros,"$1,613,000,000",3.8%,"$1,773"
198,British Virgin Islands,"$1,505,856,107",2.76%,"$38,627"
199,Grenada,"$1,458,000,000",3.3%,"$12,544"
200,Samoa,"$1,248,000,000",2.7%,"$5,887"
201,St. Vincent & Grenadines,"$1,238,000,000",4.4%,"$11,132"
202,Saint Kitts & Nevis,"$1,141,000,000",1.7%,"$22,158"
203,Vanuatu,"$1,119,000,000",1.7%,"$3,133"
204,Northern Mariana Islands,"$1,096,000,000",16.64%,"$23,786"
205,Sao Tome & Principe,"$976,000,000",2.9%,"$4,061"
206,American Samoa,"$871,000,000",1.74%,"$18,017"
207,Dominica,"$748,000,000",4.2%,"$9,944"
208,Saint Martin,"$649,206,156",4.9%,"$21,668"
209,Tonga,"$587,000,000",2.7%,"$5,921"
210,Micronesia,"$495,000,000",1%,"$5,241"
211,Anguilla,"$415,735,284",2.47%,"$28,850"
212,Cook Islands,"$366,211,548",19.07%,"$25,750"
213,Palau,"$341,000,000",4.5%,"$19,456"
214,Kiribati,"$321,000,000",3.9%,"$2,481"
215,Marshall Islands,"$302,000,000",2.5%,"$8,287"
216,Nauru,"$172,000,000",2.1%,"$14,274"
217,Montserrat,"$80,429,630",7.29%,"$18,197"
218,Tuvalu,"$58,000,000",3%,"$5,830"